Image,Location,Type,Notes,Predicted Location 1,Predicted Location 2,Distance Labeled to Predicted 1,Distance Labeled to Predicted 2
iss050e070478,"40.743988, -73.987878","city, desert","Good match, Manhattan, NY","40.63111101746556, -73.99789205891928","45.09597679451513, -69.98101583821615",12.56329942,583.5758207
iss051e040689,"25.260556, 45.553611",salt ponds,"Good match, Al Bahah, Saudi Arabia","20.210666880633188, 40.115531917317696","24.26985042964802, 44.80188750813801",790.2114792,133.503455
iss040e092721,"37.901332, 15.333352","volcano, island","Bad match, Mount Etna and Sicily","36.7563658028258, 12.444356115722655","41.44324611561281, 12.444356115722655",285.8220186,464.7860195
iss065e013079,"29.333794, 30.680242",,"Faiyum, Egypt","29.501930104452452, 31.247215758494264","29.052984494136375, 31.247215758494264",58.09213808,63.31968773
iss065e069380,"42.061955, -70.161285",,"Provincetown, MA","45.32186873565969, -63.510108686439764","41.939185756185516, -69.99890873526789",646.7394311,19.15543235
iss040e125148,"51.959667, 4.072454",port,Maasvlakte Rotterdam,"52.78571748565539, -0.587686116536446","50.151935404086906, 1.369253580729179",330.3581481,276.3077166
iss065e067263,"33.866825, 35.503391",city,"Beirut, Lebanon","33.792824200263745, 35.78096614634356","33.792824200263745, 35.540640218609184",26.97392196,8.902957314
iss065e067142,"31.218129, 32.326817",,"Port Said, Egypt","31.182926658214328, 32.57257537880645","31.182926658214328, 32.33224945107207",23.74467813,3.937175396
iss065e021246,"38.669212, 1.502870",,Formentera,"35.225913478679374, 0.4831466230227761","33.479946131340654, 0.2428206952884011",392.764029,586.8649591
iss063e036877,"39.183225, -120.073817",,Lake Tahoe,"39.755608658562124, -123.28949362561593","38.413870986982, -122.12562948987375",283.8981914,197.6426098
iss057e114908,"33.736854, -118.207804",,"Long Beach, California","33.67205471773768, -118.17303682291667","33.484154138868824, -118.17303682291667",7.876923174,28.21340261
