Image,Best Match 1,Best Match 2,Predicted Location,Issues
iss042e062108,"40.5694810104786, 36.47449482336784","39.58943248150133, 36.656569208934904","40.079456745989965, 36.56553201615137",
iss052e026898,,,,Match not found.
iss065e012122,"21.859068677152404, 9.468757021178105","22.869221341312457, 11.471575262415776","22.36414500923243, 10.470166141796941",
iss065e013101,"18.542636924143775, 39.042587012311174","18.02226096314603, 37.221843156640546","18.282448943644905, 38.13221508447586",
iss065e066583,,,,Match not found.
